Face mask (physical object),Medication Reconciliation (procedure),Oxygen administration by mask (procedure),Placing subject in prone position (procedure),Plain chest X-ray (procedure),Throat culture (procedure),Fitness,Electrical cardioversion,Colonoscopy,Intramuscular injection
0,0.0,0.0,0.0,0.0,0.0,0.999920004799712,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0,0.0,0.999920004799712,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0,0.0,0.999920004799712,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0,0.0,0.999920004799712,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0,0.0,0.999920004799712,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0,0.0,0.999920004799712,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0,0.0,0.999920004799712,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0,0.0,0.999920004799712,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0,0.0,0.999920004799712,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0,0.0,0.999920004799712,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0,0.0,0.999920004799712,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0,0.0,0.999920004799712,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0,0.0,0.999920004799712,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0,0.0,0.999920004799712,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0,0.0,0.999920004799712,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0,0.0,0.999920004799712,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0,0.0,0.999920004799712,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0,0.0,0.999920004799712,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0,1.0,0.9629260632368029,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0,1.0,0.9629260632368029,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0,1.0,0.9629260632368029,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0,1.0,0.9629260632368029,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0,1.0,0.9629260632368029,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0,1.0,0.965479429381278,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0,1.0,0.965479429381278,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0,1.0,0.965479429381278,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0,1.0,0.965479429381278,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0,1.0,0.965479429381278,0.0,0.0,0.0
