sep=,
Event Log,num_activities,num_traces,trace_length_mean,trace_length_std
COVID_PE,1521,104,14.625,13.761839308531624
COVID_ARD,8053,234,34.414529914529915,16.127005354438765
COVID_SST,1231,132,9.325757575757576,12.979877323579366
COVID_AVP,4866,514,9.46692607003891,14.181696000334243
COVID_AB,5051,463,10.909287257019438,14.970106285974717
COVID_MNB,2606,158,16.49367088607595,14.481217357143997
