Face mask (physical object),Medication Reconciliation (procedure),Fitness,Throat culture (procedure),Colonoscopy,Electrical cardioversion
0,0,0.999950002499875,0.0,0.0,0.0
0,0,0.999950002499875,0.0,0.0,0.0
0,0,0.999950002499875,0.0,0.0,0.0
0,0,0.999950002499875,0.0,0.0,0.0
0,0,0.999950002499875,0.0,0.0,0.0
0,0,0.999950002499875,0.0,0.0,0.0
0,0,0.999950002499875,0.0,0.0,0.0
0,0,0.999950002499875,0.0,0.0,0.0
0,0,0.999950002499875,0.0,0.0,0.0
0,0,0.999950002499875,0.0,0.0,0.0
0,0,0.999950002499875,0.0,0.0,0.0
0,0,0.999950002499875,0.0,0.0,0.0
0,0,0.999950002499875,0.0,0.0,0.0
0,0,0.999950002499875,0.0,0.0,0.0
0,0,0.9999666677777408,0.0,0.0,0.0
0,0,0.9999666677777408,0.0,0.0,0.0
0,0,0.9999666677777408,0.0,0.0,0.0
0,0,0.9999666677777408,0.0,0.0,0.0
0,0,0.9999666677777408,0.0,0.0,0.0
0,0,0.9999666677777408,0.0,0.0,0.0
0,0,0.9999666677777408,0.0,0.0,0.0
0,0,0.9999666677777408,0.0,0.0,0.0
0,0,0.9999666677777408,0.0,0.0,0.0
0,0,0.9999666677777408,0.0,0.0,0.0
0,0,0.9999666677777408,0.0,0.0,0.0
0,0,0.9999666677777408,0.0,0.0,0.0
0,0,0.9999666677777408,0.0,0.0,0.0
0,0,0.9999666677777408,0.0,0.0,0.0
0,0,0.9999666677777408,0.0,0.0,0.0
0,0,0.9999666677777408,0.0,0.0,0.0
0,0,0.9999666677777408,0.0,0.0,0.0
0,0,0.9999666677777408,0.0,0.0,0.0
0,0,0.9999666677777408,0.0,0.0,0.0
0,0,0.9999666677777408,0.0,0.0,0.0
0,0,0.6666555557407376,1.0,1.0,0.0
0,1,0.7999680012799488,0.0,0.0,0.0
0,1,0.7999680012799488,0.0,0.0,0.0
0,1,0.7999680012799488,0.0,0.0,0.0
0,0,0.999950002499875,0.0,0.0,0.0
0,0,0.999950002499875,0.0,0.0,0.0
0,0,0.999950002499875,0.0,0.0,0.0
0,0,0.999950002499875,0.0,0.0,0.0
0,0,0.999950002499875,0.0,0.0,0.0
0,0,0.999950002499875,0.0,0.0,0.0
0,0,0.999950002499875,0.0,0.0,0.0
0,0,0.7999840003199936,1.0,0.0,0.0
0,0,0.7999840003199936,1.0,0.0,0.0
0,0,0.7999680012799488,1.0,0.0,0.0
0,1,0.6666444451851605,0.0,0.0,1.0
0,0,0.7499812504687382,1.0,0.0,0.0
0,0,0.7499812504687382,1.0,0.0,0.0
