Face mask (physical object),Fitness,Medication Reconciliation (procedure),Throat culture (procedure)
0,1.0,0.0,0.0
0,1.0,0.0,0.0
0,1.0,0.0,0.0
0,1.0,0.0,0.0
0,1.0,0.0,0.0
0,1.0,0.0,0.0
0,1.0,0.0,0.0
0,1.0,0.0,0.0
0,1.0,0.0,0.0
0,1.0,0.0,0.0
0,1.0,0.0,0.0
0,1.0,0.0,0.0
0,1.0,0.0,0.0
0,1.0,0.0,0.0
0,1.0,0.0,0.0
0,1.0,0.0,0.0
0,1.0,0.0,0.0
0,1.0,0.0,0.0
0,1.0,0.0,0.0
0,1.0,0.0,0.0
0,1.0,0.0,0.0
0,1.0,0.0,0.0
0,1.0,0.0,0.0
0,1.0,0.0,0.0
0,1.0,0.0,0.0
0,1.0,0.0,0.0
0,1.0,0.0,0.0
0,1.0,0.0,0.0
0,0.9999833336111065,0.0,0.0
0,0.9999833336111065,0.0,0.0
0,0.9999833336111065,0.0,0.0
0,0.9999833336111065,0.0,0.0
0,0.9999833336111065,0.0,0.0
0,0.9999833336111065,0.0,0.0
0,0.999950002499875,0.0,0.0
0,0.999950002499875,0.0,0.0
0,0.999950002499875,0.0,0.0
0,0.999950002499875,0.0,0.0
0,0.999950002499875,0.0,0.0
0,0.999950002499875,0.0,0.0
0,0.999950002499875,0.0,0.0
0,0.999950002499875,0.0,0.0
0,0.999950002499875,0.0,0.0
0,0.999950002499875,0.0,0.0
0,0.999950002499875,0.0,0.0
0,0.9999833336111065,0.0,0.0
0,0.9999833336111065,0.0,0.0
0,0.9999833336111065,0.0,0.0
0,0.9999833336111065,0.0,0.0
0,0.9999833336111065,0.0,0.0
0,0.9999833336111065,0.0,0.0
0,0.9999666677777408,0.0,0.0
0,0.9999666677777408,0.0,0.0
0,0.9999750006249843,0.0,0.0
0,0.9999750006249843,0.0,0.0
0,0.9999750006249843,0.0,0.0
0,0.9999750006249843,0.0,0.0
