Colonoscopy,Face mask (physical object),Medication Reconciliation (procedure),Oxygen administration by mask (procedure),Placing subject in prone position (procedure),Plain chest X-ray (procedure),Suture open wound,Throat culture (procedure),Fitness,Intramuscular injection,Measurement of respiratory function (procedure)
0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.75,0.0,0.0
0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.75,0.0,0.0
0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.75,0.0,0.0
0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.75,0.0,0.0
0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999750006249843,0.0,0.0
0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999750006249843,0.0,0.0
0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999750006249843,0.0,0.0
0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999750006249843,0.0,0.0
0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999750006249843,0.0,0.0
0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999750006249843,0.0,0.0
0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999750006249843,0.0,0.0
0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999750006249843,0.0,0.0
0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999750006249843,0.0,0.0
0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999750006249843,0.0,0.0
0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999750006249843,0.0,0.0
0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999750006249843,0.0,0.0
0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999750006249843,0.0,0.0
0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999750006249843,0.0,0.0
