Face mask (physical object),Medication Reconciliation (procedure),Plain chest X-ray (procedure),Throat culture (procedure),Fitness,Colonoscopy,Oxygen administration by mask (procedure),Placing subject in prone position (procedure),Measurement of respiratory function (procedure),Sputum examination (procedure)
0,0.0,0.0,0.0,0.9999000099990001,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.9999000099990001,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.9999000099990001,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.9999000099990001,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.9999000099990001,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.9999000099990001,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.9999000099990001,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.9999000099990001,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.9999000099990001,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.9999000099990001,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.9999000099990001,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.9999000099990001,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.9999000099990001,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.9999000099990001,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.9999000099990001,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.9999000099990001,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.9999000099990001,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.9999000099990001,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.9999000099990001,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.9999000099990001,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.9999000099990001,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.9999000099990001,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.999950002499875,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.999950002499875,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.999950002499875,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.999950002499875,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.999950002499875,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.999950002499875,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.999950002499875,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.999950002499875,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.999950002499875,0.0,0.0,0.0,0.0,0.0
