Face mask (physical object),Medication Reconciliation (procedure),Fitness,Colonoscopy,Electrical cardioversion,Oxygen administration by mask (procedure),Placing subject in prone position (procedure),Plain chest X-ray (procedure),Throat culture (procedure),Intramuscular injection,Measurement of respiratory function (procedure)
0,0.0,0.9999666677777408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.9999666677777408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.9999666677777408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.8571306124198226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.7499812504687382,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0,0.0,0.7499812504687382,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0,1.0,0.941173702430287,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.7999680012799488,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0,0.0,0.7999680012799488,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0,0.0,0.7999680012799488,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0,0.0,0.999950002499875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.999950002499875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.999950002499875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.7999680012799488,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0,0.0,0.7999680012799488,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0,0.0,0.7999680012799488,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0,0.0,0.7999680012799488,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0,1.0,0.7499812504687382,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.4444345681207085,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0
0,0.0,0.999950002499875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.999950002499875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.999950002499875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.999950002499875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.999950002499875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.999950002499875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.999950002499875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,1.0,0.8571183680466272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,1.0,0.8571183680466272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.7999680012799488,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0,0.0,0.9999961538609466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.9999970588321799,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.9999964285841836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.9999966666777778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.9999888890123443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
