Face mask (physical object),Oxygen administration by mask (procedure),Placing subject in prone position (procedure),Plain chest X-ray (procedure),Fitness,Medication Reconciliation (procedure),Throat culture (procedure)
0,0.0,0.0,0.0,0.9999958333506944,0.0,0.0
0,0.0,0.0,0.0,0.9999958333506944,0.0,0.0
0,0.0,0.0,0.0,0.9999958333506944,0.0,0.0
0,0.0,0.0,0.0,0.9999958333506944,0.0,0.0
0,0.0,0.0,0.0,0.9999958333506944,0.0,0.0
0,0.0,0.0,0.0,0.9999958333506944,0.0,0.0
0,0.0,0.0,0.0,0.9999961538609466,0.0,0.0
0,0.0,0.0,0.0,0.9999961538609466,0.0,0.0
0,0.0,0.0,0.0,0.9999961538609466,0.0,0.0
0,0.0,0.0,0.0,0.9999961538609466,0.0,0.0
0,0.0,0.0,0.0,0.9999966666777778,0.0,0.0
0,0.0,0.0,0.0,0.9999966666777778,0.0,0.0
0,0.0,0.0,0.0,0.9999966666777778,0.0,0.0
0,0.0,0.0,0.0,0.9999000099990001,0.0,0.0
0,0.0,0.0,0.0,0.9999000099990001,0.0,0.0
0,0.0,0.0,0.0,0.9999000099990001,0.0,0.0
0,0.0,0.0,0.0,0.9999000099990001,0.0,0.0
0,0.0,0.0,0.0,0.9999000099990001,0.0,0.0
0,0.0,0.0,0.0,0.9999000099990001,0.0,0.0
0,0.0,0.0,0.0,0.9999000099990001,0.0,0.0
0,0.0,0.0,0.0,0.9999000099990001,0.0,0.0
0,0.0,0.0,0.0,0.9999000099990001,0.0,0.0
0,0.0,0.0,0.0,0.9999000099990001,0.0,0.0
0,0.0,0.0,0.0,0.9999000099990001,0.0,0.0
0,0.0,0.0,0.0,0.9999000099990001,0.0,0.0
0,0.0,0.0,0.0,0.9999000099990001,0.0,0.0
0,0.0,0.0,0.0,0.9999000099990001,0.0,0.0
0,0.0,0.0,0.0,0.9999000099990001,0.0,0.0
0,0.0,0.0,0.0,0.9999000099990001,0.0,0.0
0,0.0,0.0,0.0,0.9999000099990001,0.0,0.0
0,0.0,0.0,0.0,0.9999000099990001,0.0,0.0
0,0.0,0.0,0.0,0.9999000099990001,0.0,0.0
0,0.0,0.0,0.0,0.9999000099990001,0.0,0.0
0,0.0,0.0,0.0,0.9999000099990001,0.0,0.0
0,0.0,0.0,0.0,0.9999000099990001,0.0,0.0
0,0.0,0.0,0.0,0.9999000099990001,0.0,0.0
0,0.0,0.0,0.0,0.9999000099990001,0.0,0.0
0,0.0,0.0,0.0,0.9999000099990001,0.0,0.0
0,0.0,0.0,0.0,0.9999000099990001,0.0,0.0
0,0.0,0.0,0.0,0.9999000099990001,0.0,0.0
0,0.0,0.0,0.0,0.9999000099990001,0.0,0.0
0,0.0,0.0,0.0,0.9999000099990001,0.0,0.0
0,0.0,0.0,0.0,0.9999000099990001,0.0,0.0
0,0.0,0.0,0.0,0.9999000099990001,0.0,0.0
0,0.0,0.0,0.0,0.9999000099990001,0.0,0.0
