Face mask (physical object),Medication Reconciliation (procedure),Fitness,Throat culture (procedure)
0,0,0.9999000099990001,0.0
0,0,0.9999000099990001,0.0
0,0,0.9999000099990001,0.0
0,0,0.9999000099990001,0.0
0,0,0.9999000099990001,0.0
0,0,0.9999000099990001,0.0
0,0,0.9999000099990001,0.0
0,0,0.9999000099990001,0.0
0,0,0.9999000099990001,0.0
0,0,0.9999000099990001,0.0
0,0,0.9999000099990001,0.0
0,0,0.9999000099990001,0.0
0,0,0.9999000099990001,0.0
0,0,0.9999000099990001,0.0
0,0,0.9999000099990001,0.0
0,0,0.9999000099990001,0.0
0,0,0.9999000099990001,0.0
0,0,0.9999000099990001,0.0
0,0,0.9999000099990001,0.0
0,1,0.8,0.0
0,1,0.8,0.0
0,0,1.0,0.0
0,0,1.0,0.0
0,0,1.0,0.0
0,0,1.0,0.0
0,0,1.0,0.0
0,0,1.0,0.0
0,0,1.0,0.0
0,0,1.0,0.0
0,0,1.0,0.0
0,0,0.9999833336111065,0.0
0,0,0.9999833336111065,0.0
0,0,0.9999833336111065,0.0
0,0,0.9999833336111065,0.0
0,0,0.9999833336111065,0.0
0,0,0.9999833336111065,0.0
0,1,0.7999840003199936,0.0
0,1,0.7999840003199936,0.0
0,1,0.7999840003199936,0.0
0,1,0.8571306124198226,0.0
0,1,0.8571306124198226,0.0
0,1,0.8571306124198226,0.0
0,1,0.8571306124198226,0.0
0,0,0.999950002499875,0.0
0,0,0.999950002499875,0.0
0,0,0.999950002499875,0.0
0,0,0.999950002499875,0.0
0,0,0.999950002499875,0.0
0,0,0.999950002499875,0.0
0,0,0.999950002499875,0.0
0,0,0.999950002499875,0.0
0,0,0.9999833336111065,0.0
0,0,0.9999833336111065,0.0
0,0,0.9999833336111065,0.0
0,0,0.9999833336111065,0.0
0,0,0.9999833336111065,0.0
0,0,0.9999833336111065,0.0
